fecha,demanda_MW,Entalpia,Inercia_Termica,GSP
2021-07-08,29162.08,45.0699,20.4685,0.0
2021-07-09,29640.56,49.4464,21.13,0.0
2021-07-10,27551.08,52.7411,22.9033,0.0
2021-07-11,26040.85,54.6139,24.32,0.0
2021-07-12,29987.58,46.4186,24.3477,0.0
2021-07-13,29364.25,41.6066,21.3564,0.0
2021-07-14,29329.1,44.4014,19.9197,0.0
2021-07-15,29606.33,47.701,21.0027,0.0
2021-07-16,29996.67,50.9739,22.1601,0.0
2021-07-17,27820.22,53.4203,23.482,0.0
2021-07-18,25909.08,53.8269,24.4074,0.0
2021-07-19,30525.0,54.0228,24.5095,0.0
2021-07-20,31212.35,54.1172,24.5749,0.0
2021-07-21,31617.6,55.5864,24.744,0.0
2021-07-22,32036.92,55.4232,25.4367,0.0
2021-07-23,31650.88,52.218,25.6699,0.0
2021-07-24,28095.56,49.5601,24.3876,0.0
2021-07-25,25553.09,49.8692,23.2711,0.0
2021-07-26,29355.08,50.7408,22.6495,0.0
2021-07-27,30222.35,51.7793,22.5094,0.0
2021-07-28,30635.37,52.8369,23.3955,0.0
2021-07-29,31117.1,54.021,23.7809,0.0
2021-07-30,30763.89,51.8118,24.1461,0.0
2021-07-31,26976.17,45.6421,23.2495,0.0
2021-08-01,23963.5,42.7355,20.8351,0.0
2021-08-02,27289.54,46.9821,20.4833,0.0
2021-08-03,28225.9,50.2446,21.8089,0.0
2021-08-04,28665.69,50.9628,22.8087,0.0
2021-08-05,29058.42,50.5149,23.2614,0.0
2021-08-06,28837.05,50.0638,23.8392,0.0
2021-08-07,26566.92,47.4629,23.2839,0.0
2021-08-08,24198.7,46.4828,22.1532,0.0
2021-08-09,27136.9,51.3153,22.1366,0.0
2021-08-10,28087.03,54.3341,23.7513,0.0
2021-08-11,29124.33,57.9298,25.1291,0.0
2021-08-12,29942.62,58.8732,26.207,0.0
2021-08-13,30185.15,59.6298,26.7968,0.0
2021-08-14,29056.58,59.4067,27.4621,0.0
2021-08-15,27310.1,57.1985,27.6532,0.0
2021-08-16,28807.46,51.989,26.4872,0.0
2021-08-17,28687.08,49.2214,24.3686,0.0
2021-08-18,28533.76,49.5896,22.8771,0.0
2021-08-19,28424.01,50.8128,22.7896,0.0
2021-08-20,28511.35,52.515,23.2358,0.0
2021-08-21,26761.22,53.2102,24.1192,0.0
2021-08-22,25173.74,54.8719,24.4275,0.0
2021-08-23,29048.42,54.6842,24.6657,0.0
2021-08-24,29521.26,53.4407,24.4341,0.0
2021-08-25,29183.52,54.2348,23.4983,0.0
2021-08-26,29578.17,55.2891,23.4549,0.0
2021-08-27,29711.41,52.8846,24.188,0.0
2021-08-28,26721.1,49.8949,24.0666,0.0
2021-08-29,24530.24,48.7463,23.0135,0.0
2021-08-30,28466.69,49.2988,22.4561,0.0
2021-08-31,29522.9,51.9109,22.4503,0.0
2021-09-01,29248.57,53.2016,22.9689,0.0
2021-09-02,28939.84,51.6259,22.2808,0.0
2021-09-03,28897.9,51.3395,21.8108,0.0
2021-09-04,26023.01,51.2265,22.3283,0.0
2021-09-05,24563.55,53.532,23.1587,0.0
2021-09-06,29658.26,55.4594,24.1513,0.0
2021-09-07,30440.78,54.7908,24.3827,0.0
2021-09-08,29792.74,52.6854,23.7775,0.0
2021-09-09,29902.25,51.337,22.3755,0.0
2021-09-10,29302.51,49.755,21.7643,0.0
2021-09-11,26148.49,49.1015,21.7211,0.0
2021-09-12,24556.51,50.6421,22.2663,0.0
2021-09-13,28781.12,52.1324,23.1327,0.0
2021-09-14,29421.95,52.3586,22.2985,0.0
2021-09-15,29140.21,50.1714,21.0324,0.0
2021-09-16,28345.48,48.5091,20.6858,0.0
2021-09-17,28053.49,47.7313,20.5821,0.0
2021-09-18,24955.26,45.0672,20.5513,0.0
2021-09-19,22913.72,42.3583,19.6178,0.0
2021-09-20,26965.38,42.7381,19.1573,0.0
2021-09-21,27137.49,41.479,18.6894,0.5767
2021-09-22,27436.85,43.922,17.995,0.0
2021-09-23,27484.32,47.9179,18.7276,0.0
2021-09-24,27341.76,49.7523,19.7594,0.0
2021-09-25,24723.58,47.9614,19.9802,0.0
2021-09-26,22751.78,45.1005,19.6091,0.0
2021-09-27,27014.87,44.2685,19.576,0.0
2021-09-28,27934.63,43.1024,19.6129,0.0
2021-09-29,27955.74,41.919,18.9578,0.0
2021-09-30,27710.95,42.6764,18.591,0.0
2021-10-01,27489.08,42.78,18.9469,0.0
2021-10-02,24487.12,44.7062,19.2558,0.0
2021-10-03,22718.68,40.5096,19.1627,2.2514
2021-10-04,25900.53,33.3877,16.9558,11.1307
2021-10-05,26856.39,37.6633,15.6543,4.807
2021-10-06,27500.73,39.2816,16.9742,1.5888
2021-10-07,27196.64,38.7344,17.7267,0.0413
2021-10-08,27002.76,38.577,17.9727,0.4845
2021-10-09,24121.96,39.023,17.7988,2.5949
2021-10-10,22151.39,39.0861,17.3409,3.8456
2021-10-11,24123.61,37.9891,17.0929,3.8933
2021-10-12,22617.9,36.5938,17.0431,4.969
2021-10-13,26377.88,34.522,16.6908,8.5526
2021-10-14,26708.42,35.2862,16.1733,6.7287
2021-10-15,27044.82,36.343,16.5909,3.8446
2021-10-16,24324.07,36.8719,17.0632,3.1348
2021-10-17,22658.87,40.9026,17.1797,1.2262
2021-10-18,26772.08,43.6173,17.7518,0.0
2021-10-19,27454.01,44.1278,18.5042,0.0
2021-10-20,27429.06,42.5897,18.8828,0.0
2021-10-21,27259.81,38.0845,18.2053,4.712
2021-10-22,26903.67,34.6981,16.3035,10.1034
2021-10-23,24151.74,32.6003,14.8463,12.9578
2021-10-24,22484.94,32.2494,14.7276,11.1623
2021-10-25,26569.26,32.5665,15.1475,10.652
2021-10-26,27426.15,34.0932,15.0064,10.3137
2021-10-27,27362.73,34.2049,15.0469,9.8135
2021-10-28,27358.06,33.991,15.2687,9.4341
2021-10-29,27512.24,37.3515,15.237,5.214
2021-10-30,24869.03,44.136,15.8156,1.1052
2021-10-31,22663.17,46.0382,17.5199,0.0737
2021-11-01,22760.47,38.3271,17.5141,6.4006
2021-11-02,26683.81,33.12,15.2719,10.3042
2021-11-03,27774.28,27.7491,13.1022,17.4365
2021-11-04,28082.97,24.4317,11.0734,22.8833
2021-11-05,28354.48,23.3943,9.9133,24.1683
2021-11-06,25904.36,22.352,9.5146,26.0618
2021-11-07,24435.01,23.4109,9.4029,24.5295
2021-11-08,28419.13,28.0668,10.2819,19.2343
2021-11-09,28883.56,26.2118,11.6429,20.8543
2021-11-10,29330.71,26.3058,11.1759,18.8855
2021-11-11,29391.84,27.4638,11.3474,18.1947
2021-11-12,29134.66,29.3952,11.8643,14.8577
2021-11-13,25854.44,29.9398,12.3124,14.6156
2021-11-14,24216.68,28.5963,12.2724,16.978
2021-11-15,28622.1,26.6232,11.6824,18.0632
2021-11-16,29650.25,25.36,10.8029,19.0681
2021-11-17,29678.08,25.2117,10.3737,19.7772
2021-11-18,29951.35,26.0529,10.1761,19.7879
2021-11-19,29891.92,27.7735,10.5981,16.8394
2021-11-20,26950.65,29.9054,11.339,9.8392
2021-11-21,24835.41,29.1557,11.6464,12.8599
2021-11-22,29546.29,25.3439,11.0513,13.9582
2021-11-23,30622.85,22.5171,9.369,16.06
2021-11-24,31201.96,21.6354,8.321,17.3447
2021-11-25,31169.41,22.0596,7.9464,17.4901
2021-11-26,30987.03,20.4497,7.9387,21.62
2021-11-27,28253.4,19.6218,7.4639,21.9472
2021-11-28,26963.81,18.3127,7.0574,24.4655
2021-11-29,30966.44,24.1034,7.0223,18.2002
2021-11-30,31460.26,23.3104,9.0103,22.8508
2021-12-01,31636.58,23.6694,8.8964,18.1225
2021-12-02,31690.1,21.2438,8.7502,19.5708
2021-12-03,31342.53,21.3957,8.0449,22.8378
2021-12-04,28129.57,25.079,8.406,17.9083
2021-12-05,26055.85,22.8922,9.3175,19.4195
2021-12-06,26390.85,24.0278,8.7859,18.7492
2021-12-07,28047.5,27.8217,9.4743,12.3065
2021-12-08,26878.37,22.7063,10.2359,16.8422
2021-12-09,30947.7,24.2375,8.6889,14.8632
2021-12-10,30769.2,28.6288,9.451,9.859
2021-12-11,27590.24,27.9387,10.9573,15.5505
2021-12-12,25650.36,27.0553,10.672,18.2052
2021-12-13,30198.64,25.088,10.3816,19.0595
2021-12-14,31084.68,23.7173,9.9616,19.042
2021-12-15,31175.64,22.9289,9.7227,18.4499
2021-12-16,31310.76,23.366,9.5239,18.3999
2021-12-17,31037.07,22.4817,9.2354,19.0315
2021-12-18,28002.65,22.6132,8.7372,18.9931
2021-12-19,26072.42,23.4652,8.6681,18.9968
2021-12-20,30671.48,24.8015,9.0225,15.6257
2021-12-21,30712.56,28.9908,9.7929,11.6022
2021-12-22,30142.18,29.6865,11.1706,11.1036
2021-12-23,28829.79,29.8771,11.1999,9.2455
2021-12-24,24901.55,30.1154,11.1538,8.8115
2021-12-25,21445.4,29.5487,11.1421,9.6651
2021-12-26,22722.63,30.8105,11.1767,8.4639
2021-12-27,25601.72,33.0158,11.8354,9.7796
2021-12-28,25897.01,32.5357,12.7993,9.9833
2021-12-29,25645.28,30.7324,12.5095,12.7874
2021-12-30,25621.1,28.1929,12.0603,14.5906
2021-12-31,23904.51,27.0313,12.0349,13.6333
2022-01-01,20888.99,26.7963,12.18,12.9546
2022-01-02,22645.83,27.3993,12.0399,13.3434
2022-01-03,27266.99,28.3133,11.7504,14.1798
2022-01-04,28216.56,27.1605,11.4086,13.4429
2022-01-05,28089.09,20.6158,9.9945,19.8639
2022-01-06,24190.26,17.4849,7.3105,27.9544
2022-01-07,27681.92,18.7813,6.4131,26.9647
2022-01-08,26911.27,19.9385,7.0209,24.1683
2022-01-09,25639.13,25.1413,7.86,16.4751
2022-01-10,29759.76,28.9263,9.7805,14.199
2022-01-11,30290.79,24.1208,10.5394,19.7578
2022-01-12,30561.96,18.7276,8.7392,29.6476
2022-01-13,31102.02,17.3985,6.9209,31.1431
2022-01-14,31440.22,17.5715,6.3376,30.8148
2022-01-15,28193.07,17.1238,6.577,31.4848
2022-01-16,26534.98,16.9976,6.534,31.5776
2022-01-17,31145.57,17.2502,6.4895,32.1567
2022-01-18,32124.47,17.7073,6.6997,30.6556
2022-01-19,32249.47,18.2999,7.1113,29.3402
2022-01-20,32178.69,19.3497,7.079,27.638
2022-01-21,31950.5,16.785,6.6923,33.6011
2022-01-22,28817.6,17.2089,5.7475,34.2217
2022-01-23,27067.13,18.8025,6.0831,29.5516
2022-01-24,31922.68,19.9952,6.8356,27.3825
2022-01-25,31931.56,20.5774,7.3679,27.9112
2022-01-26,31814.41,20.6679,7.7357,26.8737
2022-01-27,31487.0,19.8033,7.921,28.3067
2022-01-28,31084.24,18.5749,7.7916,31.6461
2022-01-29,27757.52,19.0622,7.5514,30.1828
2022-01-30,25732.41,19.7385,8.4778,26.8582
2022-01-31,30094.25,21.3134,8.979,27.9294
2022-02-01,30557.74,21.9199,8.8131,30.0456
2022-02-02,30335.48,24.9081,9.0171,25.466
2022-02-03,30155.85,24.9215,10.6373,21.0288
2022-02-04,29902.74,25.0883,10.8637,18.4261
2022-02-05,26827.24,23.532,9.9781,24.3327
2022-02-06,25178.31,21.6845,9.0077,28.6051
2022-02-07,29335.71,23.9623,8.5946,29.0609
2022-02-08,29873.67,23.8122,9.482,30.6514
2022-02-09,29931.35,24.1505,9.652,28.946
2022-02-10,30143.74,24.3917,9.9792,26.0298
2022-02-11,29725.31,24.3726,10.0537,23.8481
2022-02-12,26840.85,24.4106,9.8509,24.4612
2022-02-13,24895.41,25.2094,9.67,22.4925
2022-02-14,29198.28,23.4005,9.6895,29.1165
2022-02-15,29965.78,21.1677,8.9989,34.899
2022-02-16,29898.03,25.8177,8.8844,24.572
2022-02-17,29542.36,29.1392,10.5998,22.8495
2022-02-18,29026.62,27.9319,11.8257,22.5178
2022-02-19,26629.68,23.7518,11.2007,26.0628
2022-02-20,24776.53,23.6946,9.444,31.2549
2022-02-21,28744.9,24.6164,9.636,31.4567
2022-02-22,29073.48,23.7549,10.4603,32.2614
2022-02-23,29071.35,24.263,10.8496,25.807
2022-02-24,29158.76,25.5068,11.0157,21.3969
2022-02-25,29228.04,24.4766,10.6907,24.0016
2022-02-26,26627.81,24.4061,9.7241,22.8024
2022-02-27,24582.87,25.83,9.8472,22.4715
2022-02-28,27724.58,25.6852,10.4974,29.6507
2022-03-01,28711.88,25.8773,10.8397,28.9552
2022-03-02,29039.93,26.068,10.962,27.8157
2022-03-03,29348.68,25.6181,10.6257,23.4523
2022-03-04,29198.87,22.6469,9.8497,30.0484
2022-03-05,25848.1,20.892,8.7665,33.7094
2022-03-06,24289.8,20.2496,8.24,34.0085
2022-03-07,28985.87,21.3215,7.9077,31.7155
2022-03-08,29037.14,23.5492,8.4832,29.2186
2022-03-09,28701.17,24.9544,9.391,31.606
2022-03-10,28496.27,26.3915,10.1848,28.7446
2022-03-11,28730.22,26.6692,10.6417,20.5012
2022-03-12,25281.91,25.001,10.2488,32.7766
2022-03-13,23412.42,25.3866,9.9984,31.3464
2022-03-14,28706.85,26.7297,10.3611,15.0511
2022-03-15,28725.3,30.3443,10.9618,12.1268
2022-03-16,28749.47,29.2788,12.5538,7.9423
2022-03-17,28360.76,27.3345,11.4995,15.59
2022-03-18,27753.48,26.6413,10.7512,21.9344
2022-03-19,24526.75,27.5437,10.6501,24.3064
2022-03-20,23262.81,28.4063,11.0928,23.4252
2022-03-21,27375.75,29.2844,11.4103,20.6561
2022-03-22,28021.37,28.3008,11.4148,22.1444
2022-03-23,28249.94,27.2705,11.1267,21.8801
2022-03-24,28529.46,27.9981,10.935,19.5989
2022-03-25,27993.09,28.7066,11.2642,16.5618
2022-03-26,25064.04,27.9065,11.4161,23.6325
2022-03-27,22907.77,29.0359,11.3448,27.4541
2022-03-28,26767.29,29.3902,11.975,22.0915
2022-03-29,27517.5,30.3989,12.2633,18.8292
2022-03-30,27828.22,28.5797,11.9387,24.1887
2022-03-31,27783.76,25.5795,11.0158,33.2888
2022-04-01,27957.86,19.4255,9.7457,54.414
2022-04-02,25294.65,16.9393,7.7641,65.1378
2022-04-03,23972.42,16.6467,6.8963,60.2998
2022-04-04,29270.06,18.4318,6.712,43.8817
2022-04-05,30269.85,20.8077,7.3911,39.3247
2022-04-06,29380.08,24.3323,8.5437,42.2448
2022-04-07,28290.63,28.9145,10.4196,33.1241
2022-04-08,27768.62,29.6693,12.2465,28.0002
2022-04-09,24478.72,30.3058,12.5211,30.2778
2022-04-10,22501.7,32.3103,12.9513,25.1328
2022-04-11,26231.5,32.8162,13.8213,19.4582
2022-04-12,27026.71,30.7029,13.5839,22.6653
2022-04-13,26680.9,30.8138,12.3363,25.7911
2022-04-14,22772.43,32.7051,12.6181,22.827
2022-04-15,20870.6,34.6055,13.9997,16.7752
2022-04-16,21440.77,35.9015,15.2849,12.9534
2022-04-17,20419.99,35.4869,15.9963,13.9867
2022-04-18,22414.22,35.0089,15.6841,16.7375
2022-04-19,25507.29,30.7673,14.6531,24.4208
2022-04-20,27152.6,25.4411,12.2461,32.7406
2022-04-21,27249.29,26.6213,10.5782,36.2776
2022-04-22,27308.8,28.4682,11.3705,25.8267
2022-04-23,24299.53,26.5903,11.3404,33.1409
2022-04-24,22235.65,29.0843,11.0539,35.3722
2022-04-25,25795.22,31.3661,12.5745,29.2819
2022-04-26,26712.43,33.3555,13.9104,19.1417
2022-04-27,27207.3,33.3131,14.3067,18.1064
2022-04-28,27098.53,32.8165,13.6534,20.9199
2022-04-29,26435.82,35.1287,13.6697,19.4445
2022-04-30,23146.44,36.2722,15.1,13.7559
2022-05-01,20651.78,36.288,15.8931,13.1829
2022-05-02,23911.49,34.0122,15.6475,20.5934
2022-05-03,26492.76,33.3939,14.0912,21.2385
2022-05-04,26828.18,33.6206,13.7382,19.3004
2022-05-05,26521.47,34.1549,14.0879,21.5086
2022-05-06,25936.4,34.444,14.9257,19.5804
2022-05-07,23219.39,36.0158,15.5537,13.2699
2022-05-08,21466.78,37.6923,16.4039,6.7216
2022-05-09,25714.8,39.754,17.3434,0.0
2022-05-10,26657.74,40.5778,18.3735,0.0
2022-05-11,26845.19,41.0729,18.738,0.0
2022-05-12,26825.45,40.76,18.7217,0.0
2022-05-13,26835.4,43.7923,18.4739,0.0
2022-05-14,23957.88,44.9264,19.4325,0.0
2022-05-15,22063.49,43.1863,19.5728,0.0
2022-05-16,25890.0,43.1347,19.0468,0.0
2022-05-17,27044.96,46.1036,19.5831,0.0
2022-05-18,27677.83,48.4633,20.7925,0.0
2022-05-19,28108.78,47.6758,21.4802,0.0
2022-05-20,28051.93,47.4657,21.6663,0.0
2022-05-21,25310.84,48.7545,21.9366,0.0
2022-05-22,23012.56,47.3467,22.0399,0.0
2022-05-23,27047.6,42.9916,20.7623,0.0
2022-05-24,27122.7,36.7624,18.6711,8.5006
2022-05-25,26412.71,34.6679,16.4616,13.3393
2022-05-26,26615.07,38.31,16.4131,2.0112
2022-05-27,26856.23,42.0132,18.1359,0.0
2022-05-28,24586.06,44.3654,19.9757,0.0
2022-05-29,22658.83,43.2283,20.8042,0.0
2022-05-30,26476.38,41.2982,19.9517,0.0
2022-05-31,27584.27,43.8755,19.1002,0.0
2022-06-01,27704.36,46.169,20.4193,0.0
2022-06-02,27955.84,45.5328,20.6629,0.0
2022-06-03,27889.75,45.6103,20.3765,0.0
2022-06-04,24715.58,44.9159,20.3418,0.0
2022-06-05,22903.02,44.5497,19.9972,0.0
2022-06-06,26232.25,45.5929,20.5685,0.0
2022-06-07,28189.84,47.7235,21.4534,0.0
2022-06-08,28540.02,48.9523,21.9406,0.0
2022-06-09,28751.16,48.9939,21.7975,0.0
2022-06-10,28925.94,50.0813,22.3887,0.0
2022-06-11,26500.17,51.4958,23.4495,0.0
